游戏名	来源	分类	Steam类型	Steam匹配名
侠落 百花杀尽	steam	角色扮演	冒险/独立/角色扮演/策略/抢先体验	侠落：百花杀尽
帝国幻想乡 TOHOTOPIA	steam	策略	休闲/策略/抢先体验	帝国幻想乡~TOHOTOPIA
几度相逢若初见	steam	角色扮演	休闲/角色扮演	几度相逢若初见
斯科普里83 湮灭前夕	steam	动作	动作/独立	斯科普里83：湮灭前夕
少女终端	steam	独立	休闲/独立	少女终端
昏迷3 血脉	name-sub	恐怖	动作/冒险/独立	昏迷3：血脉
笼子 KLETKA	name-sub	恐怖	动作/冒险/独立	笼子
疯狂轮盘 Bingle Bingle	steam	策略	独立/策略	疯狂轮盘 / Bingle Bingle
剑星	steam	动作	动作/冒险/角色扮演	剑星
生化危机4 重制版	name-sub	射击		
纪元1800 最终纪念版	name	策略		
真・三国无双 起源	steam	动作	动作/角色扮演/策略	真・三国无双 起源
天使街区 女仆大冒险	steam	动作	动作/休闲/独立/抢先体验	天使街区：女仆大冒险
挖掘者米娜	steam	动作	动作/冒险	挖掘者米娜
深海刮刮乐	steam	模拟	休闲/独立/模拟	深海刮刮乐
炼魂之地 神偶剧院	name	角色扮演		
纺织者之咏	steam	角色扮演	冒险/休闲/独立/角色扮演/策略/抢先体验	纺织者之咏
恶魔牌	steam	策略	休闲/策略	恶魔牌
狩魔之旅 万界仙踪 支持者版	name	角色扮演		
红色回响 Echoes of Red	steam	动作	动作/冒险/休闲/独立/角色扮演/策略	Echoes of Red
吾皇万岁	steam	角色扮演	独立/角色扮演/模拟/策略	吾皇万岁
觉醒者 战斗之潮	steam	动作	动作/角色扮演	觉醒者：战斗之潮
罗马之城 Nova Roma	steam	策略	模拟/策略/抢先体验	罗马之城 Nova Roma
千层登塔	steam	策略	休闲/独立/策略	千层登塔
九王 9 Kings	steam	角色扮演	角色扮演/策略/抢先体验	九王 9 Kings
怪棋物语	steam	策略	独立/策略/抢先体验	怪棋物语
多重人生	steam	冒险	冒险	多重人生
帝国的夙愿	steam	策略	模拟/策略	帝国的夙愿
轮盘地牢	steam	动作	动作/冒险/休闲/独立/角色扮演/策略	轮盘地牢
造化仙缘	steam	角色扮演	冒险/独立/角色扮演/模拟/策略/抢先体验	造化仙缘
尸姬之梦	name-sub	恐怖	冒险/独立/策略	尸姬之梦
灰烬之国	name-sub	恐怖	动作/冒险/独立/角色扮演/抢先体验	灰烬之国 Cinderia
挂机猫猫传	steam	角色扮演	休闲/独立/角色扮演/策略/抢先体验	挂机猫猫传
哀鸿 城破十日记	steam	角色扮演	冒险/独立/角色扮演	哀鸿：城破十日记
无限的迷宫城	steam	动作	动作/独立	无限的迷宫城
铸魂迷途	steam	动作	动作/休闲/角色扮演/策略	铸魂迷途
收获日3	steam	动作	动作/冒险/角色扮演	PAYDAY3 (收获日3)  
山上那个猴儿	steam	角色扮演	冒险/休闲/独立/角色扮演/策略	山上那个猴儿
佩布尔骑士	steam	动作	动作/冒险/休闲/独立/角色扮演/策略/抢先体验	佩布尔骑士
我自成道	steam	模拟	休闲/独立/模拟/抢先体验	我自成道 I Am The Dao
仙途放置 无尽天梯和完美装备	steam	策略	休闲/独立/模拟/策略	仙途放置：无尽天梯和完美装备
深矿防线	steam	策略	策略/抢先体验	深矿防线
秽水 Unclean Water	steam	动作	动作	秽水
圣火守望者 共筑防线	steam	动作	动作/独立	圣火守望者：共筑防线
昏迷 2B 地下墓穴	name-sub	恐怖	动作/冒险/独立	昏迷 2B：地下墓穴
零秒 时光的归途	steam	动作	动作/角色扮演/策略	零秒：时光的归途
血薪记 罪恶园区	steam	角色扮演	休闲/角色扮演/模拟	血薪记：罪恶园区
废都电锯姬	steam	动作	动作/冒险/独立	废都电锯姬
光明记忆	steam	动作	动作/冒险/独立	光明记忆
死或生:维纳斯璀璨假期	name-sub	格斗		
蛇香之夜 三部曲 终极版	other	其他		
背包乱斗 福西法的宝藏	steam	策略	策略	背包乱斗：福西法的宝藏 Backpack Battles
黎明探险队 CTD	steam	策略	冒险/休闲/独立/策略	黎明探险队 / CTD
三国志经典	steam	策略	模拟/策略	三国志经典
迷雾计划	steam	动作	动作/冒险/独立/模拟/抢先体验	迷雾计划
TEVI	steam	动作	动作/冒险/休闲/独立	TEVI
小小修仙者	steam	角色扮演	独立/角色扮演/模拟/策略	小小修仙者 Little Immortal Cultivator
七日杀7	name-sub	恐怖		
逆袭重启	steam	角色扮演	冒险/角色扮演/策略	逆袭重启
存在 黑暗之日	other	其他		
元卡牌之背包传说	steam	角色扮演	独立/角色扮演/策略	元卡牌之背包传说
九州仙侠录	steam	策略	休闲/独立/策略/抢先体验	九州仙侠录 - Chronicles Of Jiuzhou
龙沉异世录	steam	角色扮演	独立/角色扮演	龙沉异世录
冒险家商店	steam	冒险	冒险/休闲/独立/抢先体验	冒险家商店
月光岭物语 Moonlight Peaks	steam	角色扮演	休闲/独立/角色扮演/模拟	Moonlight Peaks
隔离区 丧尸末日生存	name-sub	恐怖	动作/独立/角色扮演/模拟/抢先体验	隔离区-丧尸末日生存
黄金矿主模拟器 阿拉斯加淘金热	steam	动作	动作/冒险/休闲/独立/角色扮演/模拟/策略	黄金矿主模拟器：阿拉斯加淘金热
终有一日愿遂思恋 来自迷途之家的信笺	steam	冒险	冒险/休闲	终有一日愿遂思恋 ～来自迷途之家的信笺～
逐空之境	other	其他		
呓语小镇	steam	模拟	休闲/独立/模拟	呓语小镇
秋叶原盲盒店模拟器	steam	模拟	休闲/独立/模拟/抢先体验	秋叶原盲盒店模拟器
雾隐天途	steam	策略	策略	雾隐天途
阿兹特克 最后的太阳	steam	策略	模拟/策略	阿兹特克：最后的太阳
火焰之纹章 Engage 全女纹章士版	steam	动作	动作/冒险/休闲/独立/角色扮演	Command or Engage
瑞奇与叮当 时空跳转	steam	动作	动作/冒险	瑞奇与叮当 时空跳转
孤岛惊魂 原始杀戮	name-sub	射击		
神之军火	steam	动作	动作/休闲/独立/角色扮演/抢先体验	神之军火
回到明朝升升官	steam	策略	休闲/独立/模拟/策略	回到明朝升升官
放置:纸色新境	steam	策略	冒险/休闲/独立/策略/抢先体验	放置:纸色新境
空之轨迹 THE 1ST	steam	角色扮演	角色扮演	空之轨迹 the 1st
数码宝贝物语 时空异客	steam	角色扮演	角色扮演	数码宝贝物语 时空异客
骑马与砍杀2 霸主	name	策略		
哥特王朝 重制版	name	策略		
毁灭战士 黑暗时代	name-sub	射击		
冒险家艾略特的千年奇谭 数字豪华版	steam	动作	动作/冒险/角色扮演	《冒险家艾略特的千年奇谭》数字豪华版升级包
使命召唤9 黑色行动2	name-sub	射击	动作	使命召唤®：黑色行动 6
魔法门之圣域	name	角色扮演		
索拉斯塔2	steam	角色扮演	冒险/独立/角色扮演/策略/抢先体验	索拉斯塔2
奥术上升 Arcane Ascent	steam	角色扮演	冒险/休闲/独立/角色扮演	Arcane Ascent
末日降临! 被美女们关进避难所!?	steam	角色扮演	冒险/角色扮演/模拟	末日降临！被美女们关进避难所!?
地狱丧钟	name-sub	恐怖	动作/独立/角色扮演	地狱丧钟 Hell Clock
风暴崛起	steam	动作	动作/策略	风暴崛起 Tempest Rising
无尽帝国2	steam	角色扮演	角色扮演/模拟/策略/抢先体验	无尽帝国 2 ENDLESS Legend™ 2
阿喀琉斯 不为人知的传奇	name	角色扮演		
施莱恩传说	steam	动作	动作/冒险/独立/角色扮演	施莱恩传说
太阳港 Sun Haven	steam	角色扮演	冒险/休闲/独立/角色扮演/模拟	Sun Haven
落日余晖	steam	动作	动作/冒险/独立/角色扮演/抢先体验	落日余晖
康斯坦丝	steam	动作	动作/冒险/独立	康斯坦丝
幻兽帕鲁 Palworld 正式版	steam	动作	动作/冒险/独立/角色扮演	Palworld / 幻兽帕鲁
艾恩葛朗特 回荡新声	steam	动作	动作/角色扮演	艾恩葛朗特 回荡新声
魔法门之英雄无敌 上古纪元	steam	角色扮演	角色扮演/策略/抢先体验	魔法门之英雄无敌：上古纪元 Heroes of Might and Magic: Olden Era
兔兔秘密花园2	steam	冒险	冒险/休闲/独立	兔兔秘密花园2
猫咪邮政	steam	模拟	独立/模拟	猫咪邮政
银白钢铁X 1+2 双重收藏辑	steam	动作	动作/冒险	银白钢铁X 1+2 双重收藏辑
行会 Guildamation	steam	角色扮演	冒险/休闲/角色扮演	Guildamation
使命召唤10 幽灵 终极版	name-sub	射击	动作	《使命召唤®：现代战争® II 2022》专业包：枪手幽灵
刀剑神域 碎梦边境	steam	动作	动作/休闲/角色扮演	刀剑神域 碎梦边境
紫色晶石 支持者版	other	其他		
神探杰克鼠	steam	动作	动作/独立	神探杰克鼠
鸦卫奇旅	steam	动作	动作/冒险	Ravenswatch 鸦卫奇旅
灰雨钢锋	steam	动作	动作/冒险/独立/角色扮演	灰雨钢锋
生化女神 末日开端	name-sub	恐怖	动作/冒险/独立/角色扮演/抢先体验	生化女神 : 末日开端
真理谭 黑暗城堡的女巫	steam	角色扮演	冒险/独立/角色扮演	真理谭：黑暗城堡的女巫
欧陆风云5 高级白金版	name	策略		
地心归途 正式版	other	其他		
遵命 陛下2:寒冬	other	其他		
风马传说	name	冒险		
无尽猎杀	steam	动作	动作/独立	《无尽猎杀》
杀毒少女	steam	动作	动作/休闲/独立/模拟/策略	杀毒少女
放置地牢	steam	角色扮演	冒险/角色扮演/策略	放置地牢-AutoDungeon
妖谈2 九尾异闻	steam	动作	动作/冒险/休闲/独立/策略	妖谈2：九尾异闻
余火守护者 支持者版	other	其他		
王国历史 三国志	name	策略		
桌面副本物语 放置好时光	steam	角色扮演	冒险/休闲/角色扮演	桌面副本物语：放置好时光
星际深钻	steam	动作	动作/冒险/独立	星际深钻
星萼	steam	策略	策略/抢先体验	星萼
大荒消劫录	steam	策略	休闲/独立/策略	大荒消劫录 Demo
不容进犯	steam	策略	独立/策略	不容进犯
刺客信条 黑旗 记忆重置	steam	动作	动作/冒险	刺客信条：黑旗 记忆重置
五行幻境 荒渡	steam	策略	独立/策略/抢先体验	五行幻境：荒渡
对马岛之魂 导演剪辑版	name	动作		
漫威蜘蛛侠 迈尔斯·莫拉莱斯	name	动作		
漫威蜘蛛侠 重制版	name	动作		
碧蓝幻想 无尽黄昏 Relink 特别版	steam	动作	动作/冒险/角色扮演	碧蓝幻想Relink 无尽黄昏 升级扩展包（特别版）
深海迷航2	steam	冒险	冒险/独立	Subnautica - 深海迷航
使命召唤4 现代战争 重制版	name-sub	射击		
红色沙漠	steam	动作	动作/冒险	红色沙漠
东京女武神	steam	角色扮演	冒险/独立/角色扮演/策略	东京女武神
迪士尼梦幻星谷 奇幻版	other	其他		
苍翼 混沌效应	steam	动作	动作/冒险/独立	苍翼：混沌效应
虚无之塔	steam	策略	冒险/休闲/独立/策略	虚无之塔
不/存在的逐梦者 银葱之森	steam	角色扮演	冒险/独立/角色扮演/抢先体验	不/存在的逐梦者：银葱之森
剑与魔法 征服之路	steam	角色扮演	休闲/独立/角色扮演/策略/抢先体验	剑与魔法：征服之路
万象群侠传	steam	角色扮演	冒险/独立/角色扮演	万象群侠传
当铺人生传奇	steam	模拟	休闲/独立/模拟	当铺人生传奇
武装突袭 精英装甲	name-sub	射击		
深入绝地	other	其他		
缺氧	steam	模拟	独立/模拟	缺氧
风暴之城 支持者版	steam	策略	模拟/策略	风暴之城 - 支持者包 Against the Storm - Supporter Pack
寻找伪人	steam	模拟	独立/模拟	寻找伪人
无尽爱丽丝	steam	动作	动作/冒险/独立/角色扮演/抢先体验	无尽爱丽丝
噬血代码II 终极版	steam	动作	动作/角色扮演	CODE VEIN 噬血代码 II
隐名三国	steam	策略	模拟/策略/抢先体验	隐名三国
加利宅邸悬案	steam	冒险	冒险	加利宅邸悬案
难蚌尖塔	steam	策略	独立/策略	难蚌尖塔 Demo
攻击就能加攻击	steam	角色扮演	冒险/独立/角色扮演	攻击就能加攻击
洪荒进化	steam	独立	休闲/独立	洪荒进化 Demo
厄本纷争 Urban Strife	steam	角色扮演	独立/角色扮演/策略	Urban Strife
魔姬征服者	steam	角色扮演	冒险/独立/角色扮演	魔姬征服者  Twelve Succubus
闲暇岛时光	steam	模拟	休闲/独立/模拟	闲暇岛时光
修仙挂机	steam	角色扮演	休闲/独立/角色扮演/模拟/策略/抢先体验	修仙挂机
肉鸽领地 守卫方格	steam	策略	独立/策略	肉鸽领地：守卫方格
魅魔的游戏	steam	角色扮演	冒险/休闲/独立/角色扮演/模拟/策略	魅魔的游戏
宗门志	steam	策略	策略/抢先体验	宗门志
喵门镖局 支持者版	steam	动作	动作/休闲/独立	喵门镖局 - Wild Woods - 支持者包
王之凝视	steam	策略	独立/策略	王之凝视 (The King is Watching)
沉没之地	steam	动作	动作/独立/抢先体验	沉没之地
流明物语 特雷的回忆	steam	动作	动作/冒险/角色扮演	流明物语：特雷的回忆 
哥布林维克 窃贼大亨	steam	角色扮演	冒险/独立/角色扮演/模拟	哥布林维克：窃贼大亨
废土履迹	steam	动作	动作/休闲/独立/策略	 废土履迹（Existential Treads）
万界·飞升成圣	steam	角色扮演	冒险/休闲/独立/角色扮演	万界·飞升成圣
挂机再生者	name	独立		
沙龙模拟器 Saloon Simulator	steam	模拟	模拟/抢先体验	Saloon Simulator
Esports Manager 2026	steam	策略	独立/模拟/体育/策略	Esports Manager 2026
KAZ	steam	动作	动作/独立	KAZ
火湖 SULFUR	steam	动作	动作/冒险/独立/角色扮演/模拟/抢先体验	火湖
汽水侠 Sodaman	steam	动作	动作/休闲	汽水侠
超时空方舟	steam	角色扮演	冒险/独立/角色扮演/策略	超时空方舟
幻想世界 Fantasy World	steam	策略	模拟/策略	Fantasy World / 幻想世界
腐根之里	steam	策略	冒险/独立/策略	腐根之里
热血西游记 天竺奇谭	steam	动作	动作	热血西游记 天竺奇谭
神魔决之江湖行	steam	角色扮演	冒险/独立/角色扮演	神魔决之江湖行
龙珠 超宇宙2	other	其他		
闪电十一人 英雄们的胜利之路 高级版	name	动作		
使命召唤12 黑色行动3 编年史版	name-sub	射击		
双点博物馆 馆长典藏版	name	模拟		
女巫之火 Witchfire	steam	动作	动作/抢先体验	Witchfire
嗜血之王 崛起 特别版	other	其他		
北境 血之誓约	other	其他		
心门守卫	other	其他		
泰拉科技魇团	steam	动作	动作	泰拉科技魇团
STORROR 跑酷大师	steam	动作	动作/冒险/独立/模拟/体育/抢先体验	STORROR Parkour Pro
宝石我来捡 你只管揍人	steam	动作	动作/独立	宝石我来捡，你只管揍人: Blood & Blessing
驯牌师 Decktamer	steam	策略	策略	驯牌师 Decktamer
消失的光芒 10周年决定版	other	其他		
蚂蚁帝国	steam	策略	策略	蚂蚁帝国（Empire of the Ants）
灵契江湖 御灵志	steam	动作	动作/冒险/独立/角色扮演	灵契江湖：御灵志
星尘轨迹 魔女之愿	steam	角色扮演	独立/角色扮演/策略	星尘轨迹：魔女之愿
蜂巢疫灾	steam	角色扮演	角色扮演/策略/抢先体验	蜂巢疫灾
终极幸运之塔	steam	动作	动作/冒险/独立/角色扮演	终极幸运之塔 (Lucky Tower Ultimate)
驾驶地平线	name	竞速		
公会传说 遗落的世界	steam	角色扮演	冒险/独立/角色扮演/策略/抢先体验	公会传说 遗落的世界
洛克人X DiVE 离线版	steam	角色扮演	冒险/休闲/角色扮演/模拟	潜水员戴夫 DAVE THE DIVER
黑色间歇泉 黑暗的信使	other	其他		
死亡日 狂杀末路	steam	动作	动作/独立/抢先体验	死亡日：狂杀末路
火灵之源	steam	动作	动作/冒险/独立	Solateria 火灵之源
欧皇VS非酋	steam	策略	休闲/独立/策略	欧皇VS非酋
双截龙再临	steam	动作	动作	双截龙再临
深岩银河 异动核心 支持者版	steam	动作	动作	深岩银河：异动核心 - 支持者升级包
哇咔纳传说	steam	动作	动作/冒险/休闲/独立/角色扮演	哇咔纳传说
无感染区 支持者版	other	其他		
龙之信条2	steam	动作	动作/角色扮演	Dragon's Dogma 2 自定义音乐“龙之信条 原声集”
露娜 银河之星 复刻合集	other	其他		
符文工厂3	steam	角色扮演	休闲/角色扮演/模拟	符文工厂3豪华版
圣剑传说3 重制版	name	冒险		
三国演义 汉朝再兴之梦	steam	角色扮演	休闲/独立/角色扮演/模拟/策略	三国演义：汉朝再兴之梦
美少女梦工场 预言之子	steam	模拟	模拟/抢先体验	美少女梦工场: 预言之子
以太与铁	steam	角色扮演	冒险/休闲/独立/角色扮演/策略	以太与铁
黑圣化 悟空	steam	策略	独立/策略/抢先体验	黑圣化:悟空
仙之气	steam	角色扮演	冒险/独立/角色扮演/模拟/抢先体验	仙之气
卡牌修仙传	steam	模拟	模拟	卡牌修仙传
泽格拉德 加强版	other	其他		
模块工厂 自动化大亨	steam	模拟	模拟	模块工厂：自动化大亨
九霄仙途	steam	角色扮演	冒险/休闲/独立/角色扮演/模拟	九霄仙途
血色西部	other	其他		
时律齿轮 时间守护者	other	其他		
蝙蝠侠 阿卡姆骑士 白金豪华版	name	动作		
怪物猎人物语3 命运双龙 高级豪华版	name	角色扮演		
NBA 2K26	other	其他	体育	NBA 2K26
鬼灭之刃 火之神血风谭2	steam	动作	动作/冒险	鬼灭之刃 火之神血风谭2
心灵杀手2	name	动作		
阿斯特赖亚 六面先知	other	其他		
地下古域	steam	角色扮演	独立/角色扮演	地下古域
血之诗 月之蚀	steam	动作	动作/冒险/独立/抢先体验	血之诗：月之蚀
迷失 Stray	steam	策略	冒险/休闲/独立/策略	迷失之径
明末 欲火重生	steam	角色扮演	休闲/角色扮演/模拟/抢先体验	明末：欲火重生
严阵以待 支持者版	other	其他		
都市 天际线	steam	模拟	模拟	Cities: Skylines II 都市：天际线2
奇迹勇者 魔兽防线	steam	策略	休闲/独立/策略	奇迹勇者：魔兽防线
三国天地·逆鳞英雄	steam	角色扮演	冒险/角色扮演/策略	三国天地·逆鳞英雄
铁骑少女	steam	角色扮演	独立/角色扮演/策略	  铁骑少女
荒域奇谭	steam	动作	动作/冒险/休闲/独立/角色扮演/策略	荒域奇谭
导师模拟器 桌面实验室	steam	休闲	休闲	导师模拟器：桌面实验室
疯狂汽车 叛逆转变	other	其他		
城门血战	steam	动作	动作/独立/策略	城门血战
狼人 内心野兽	other	其他		
凛冬前线 FrostBound	steam	策略	独立/策略	凛冬前线 / FrostBound
王牌妖相	steam	策略	休闲/独立/策略	王牌妖相
领主争锋	steam	策略	独立/模拟/策略	领主争锋
原子之心 非虚拟机 解压即撸	other	其他		
二向乱斗	steam	策略	休闲/独立/策略/抢先体验	二向乱斗
方舟 生存飞升	steam	动作	动作/冒险/独立/大型多人在线/角色扮演/抢先体验	方舟: 生存飞升
使命召唤14 二战	name-sub	射击		
使命召唤13 无限战争	name-sub	射击		
高塔之下 放置	name	独立		
妖精剑士F 和声重奏 豪华版	name	角色扮演		
觉醒异刃	steam	动作	动作/冒险/独立/角色扮演/策略	觉醒异刃
梦幻魔法公主	steam	角色扮演	冒险/独立/角色扮演/模拟	梦幻魔法公主
武装博弈	steam	策略	独立/策略	Turnbound - 武装博弈
X4 基石	steam	动作	动作/模拟/策略	X4：基石
失落的天空	other	其他		
终结者2D 无命运	other	其他		
猎杀时刻 加班行动	name	动作		
勒芒巅峰 终极版	other	其他		
数字魅影 极限竞赛	steam	动作	动作/独立/角色扮演/抢先体验	数字魅影: 极限竞赛
丧尸末世 地底全是财 挖宝造炮台	name-sub	恐怖	动作/冒险/独立/模拟	丧尸末世：地底全是财，挖宝造炮台
北欧之烬 诸神黄昏幸存者	name	独立		
